UBIGEO_OK,NOMBRE_OK,mean,percentile_10,percentile_90
230401,TARATA,-4.561075755528042,-6.175215244293213,-3.3887202739715576
210502,CAPAZO,-4.560060655748522,-5.652369976043701,-3.202446222305298
210504,SANTA ROSA,-4.197036049582741,-6.378612995147705,-2.4849495887756348
230406,SUSAPAYA,-4.182687932794744,-7.122831344604492,-0.2553364038467407
040514,SAN ANTONIO DE CHUCA,-4.096958747276893,-5.024672508239746,-3.261164426803589
080802,CONDOROMA,-3.855524698893229,-4.474339485168457,-3.0046164989471436
230408,TICACO,-3.7456318248401987,-5.661109924316406,0.8817099928855896
210707,PARATIA,-3.724840897780198,-4.328071594238281,-3.002614736557007
230201,CANDARAVE,-3.715401027513587,-6.199081897735596,1.854044795036316
180102,CARUMAS,-3.053062728688687,-5.585242748260498,3.9353272914886475
040119,SAN JUAN DE TARUCANI,-3.0424901962280275,-4.417598247528076,-1.8814839124679565
211002,ANANEA,-2.9974329471588135,-3.8498175144195557,-2.147386074066162
210302,AJOYANI,-2.9313172560471754,-3.4891555309295654,-1.9290485382080078
210405,PISACOMA,-2.905298868815104,-4.264002799987793,-1.0770533084869385
040518,TUTI,-2.8557139805385043,-3.4051871299743652,-2.3707680702209473
